title;description;author;duration;rating;price;image_name;category;subcategory
Java od Podstaw do Eksperta - twórz własne aplikacje;Stworzony z myślą o osobach, które nie wiedzą nic na temat programowania w Java. Stań się ekspertem w Javie już dziś!;Arkadiusz Włodarczyk;31;4,4;52.99;1211292_78fc_3.jpg;Programowanie;Języki programowania
Kurs Tworzenia Stron WWW w HTML i CSS od Podstaw do Eksperta;Naucz się HTML 5, CSS 3, JS, XML, jQuery, AJAX, Responsive web design od podstaw. Wyjaśnię Ci wszystko od A do Z!;Arkadiusz Włodarczyk;47;4,3;59.99;1240248_7428_3.jpg;Programowanie;Tworzenie stron internetowych
Front-end zaawansowany w 15 dni;Naucz się tworzyć atrakcyjne strony internetowe z wykorzystaniem bardziej zaawansowanych technik CSS i JavaScript;Samuraj Programowania;38,5;4,8;69.99;1844944_e2f8_3.jpg;Programowanie;Tworzenie stron internetowych
Programowanie w JavaScript;Od podstaw do programowania zorientowanego obiektowo;Samuraj Programowania;37;4,7;69.99;1916892_601a.jpg;Programowanie;Języki programowania
Python dla początkujących;Poznaj jeden z najpopularniejszych języków programowania - Python. Zobacz na własne oczy prostotę i logikę tego języka;Rafał Mobilo;7,5;4,6;52.99;1339192_de3b.jpg;Programowanie;Języki programowania
React od podstaw;Teoria i praktyka;Samuraj Programowania, Mateusz Domański;48;4,7;69.99;2049385_9a8c.jpg;Programowanie;Tworzenie stron internetowych
Python 3 od Podstaw do Eksperta;Stworzony z myślą o osobach, które nie wiedzą nic na temat programowania w Python. Naucz się Pythona od zera!;Arkadiusz Włodarczyk;20,5;4,6;52.99;1450560_cfd3_2.jpg;Programowanie;Języki programowania
C++ od Podstaw do Eksperta;Oszczędź swój czas i naucz się szybko składni języka C++ z kursem, który został stworzony specjalnie dla początkujących.;Arkadiusz Włodarczyk;21,5;4,4;52.99;1211660_8105_2.jpg;Programowanie;Języki programowania
JavaScript od Podstaw do Eksperta;Stworzony z myślą o osobach, które nie wiedzą nic na temat JavaScript. Zostań front-end developerem i zarabiaj pieniądze;Arkadiusz Włodarczyk;12,5;4,7;52.99;1229086_9895_4.jpg;Programowanie;Tworzenie stron internetowych
C# .NET od Podstaw do Tworzenia Aplikacji w WPF i XAML;Oszczędź swój czas i naucz się szybko składni języka C# .NET po czym zacznij tworzyć praktyczne aplikacje w WPF.;Arkadiusz Włodarczyk;21;4,5;52.99;1211380_cc12_2.jpg;Programowanie;Języki programowania
Angular - kompletny kurs od podstaw - nowa edycja 2020;Praktyczny kurs Angulara. Kompletna wiedza na temat najnowszego Angulara.;Zacznij Programować;7,5;4,5;52.99;1347002_c536_5.jpg;Programowanie;Tworzenie stron internetowych
PHP & MySQL od Podstaw do Eksperta;Naucz się programować w PHP oraz obsługiwać bazę MySQL od podstaw do zaawansowanych aspektów w szybki łatwy sposób.;Arkadiusz Włodarczyk;24,5;4,3;64.99;1229046_973a_4.jpg;Programowanie;Tworzenie stron internetowych
WordPress dla nieprogramistów. Stwórz niesamowitą stronę www;Naucz się, jak szybko i bez wiedzy informatycznej stworzyć niesamowitą stronę opartą o silnik WordPress.;Infolia Business Academy;5,5;4,4;54.99;1237816_bab3.jpg;Programowanie;Tworzenie stron internetowych
Zaawansowane projekty w CSS i JavaScript;7 projektów + BEM + Sass + Node.js + npm + JavaScript + webpack + Bootstrap + animacje + responsywność i optymalizacja;Samuraj Programowania;49,5;4,7;69.99;2331806_b90c_2.jpg;Programowanie;Tworzenie stron internetowych
[2020] Kurs Tworzenia Stron WWW cz. I - HTML, CSS, RWD;Podstawy HTML, CSS, semantyka, dobre praktyki pisania kodu i RWD, czyli responsywne strony internetowe!;Mateusz Maj;12;4,8;52.99;2355682_dee0_4.jpg;Programowanie;Tworzenie stron internetowych
Data Science: Analiza danych w Python i PANDAS;Otwórz sobie drzwi do Data Science! Przenieś się na wyższy poziom i pracuj jak profesjonalny analityk danych!;Rafał Mobilo;14,5;4,7;52.99;1670274_24b9.jpg;Programowanie;Języki programowania
